subject,ruler,easyeyes
1,60,59.8
1,70,70.58
1,30,30.25
1,20,20.24
1,40,39.54
1,50,50.3
1,80,79.27
1,90,89.38
1,100,99.54
1,120,120.53
1,140,141.84
1,160,160.92
1,180,179.27
1,200,199.8
1,220,222.25
1,250,252.13
1,270,267.51
1,300,295.54
